name,time,value
MemUsed LoggerApp,1674434137920.2214,1080136
MemUsed LoggerApp,1674434144300.211,1080132
MemUsed LoggerApp,1674434267440.2087,1080196
MemUsed LoggerApp,1674434267850.2017,1080140
MemUsed LoggerApp,1674434297520.1768,1080688
MemUsed LoggerApp,1674434297720.1838,1082396
MemUsed LoggerApp,1674434297920.2012,1082432
MemUsed LoggerApp,1674434298740.2246,1082424
MemUsed LoggerApp,1674434299770.165,1082456
MemUsed LoggerApp,1674434313250.142,1083868
MemUsed LoggerApp,1674434313460.1821,1101680
MemUsed LoggerApp,1674434313660.1907,1121068
MemUsed LoggerApp,1674434313870.1436,1081980
MemUsed LoggerApp,1674434314080.1794,1105620
MemUsed LoggerApp,1674434314290.1414,1114008
MemUsed LoggerApp,1674434314700.1826,1113912
MemUsed LoggerApp,1674434315110.1665,1081904
MemUsed LoggerApp,1674434315730.207,1081788
MemUsed LoggerApp,1674434315930.2188,1081640
MemUsed LoggerApp,1674434338750.2083,1081636
MemUsed LoggerApp,1674434339990.1658,1081640
MemUsed LoggerApp,1674434347220.2024,1081616
MemUsed LoggerApp,1674434940830.1614,1081608
MemUsed LoggerApp,1674434941650.204,1081612
MemUsed LoggerApp,1674435009190.165,1081464
MemUsed LoggerApp,1674435009400.2021,1081088
MemUsed LoggerApp,1674435009810.1643,1080728
MemUsed LoggerApp,1674435029910.163,1080724
MemUsed LoggerApp,1674435151790.22,1080720
MemUsed LoggerApp,1674435162800.2068,1080716
MemUsed LoggerApp,1674435182920.2246,1080712
MemUsed LoggerApp,1674435258890.2021,1080708
MemUsed LoggerApp,1674435286060.2158,1080696
MemUsed LoggerApp,1674435306730.2173,1080692
MemUsed LoggerApp,1674435427970.1663,1080688
MemUsed LoggerApp,1674435459050.1667,1080684
MemUsed LoggerApp,1674435549850.2021,1080680
MemUsed LoggerApp,1674435550670.2085,1080676
MemUsed LoggerApp,1674435550880.21,1080684
MemUsed LoggerApp,1674435731220.209,1080700
MemUsed LoggerApp,1674435828880.2073,1080696
MemUsed LoggerApp,1674435898760.2046,1080948
MemUsed LoggerApp,1674436135030.165,1080944
MemUsed LoggerApp,1674436158840.2021,1080940
MemUsed LoggerApp,1674436159880.206,1080944
MemUsed LoggerApp,1674436190750.2085,1080932
MemUsed LoggerApp,1674436279020.2256,1080928
MemUsed LoggerApp,1674436279850.1643,1080924
MemUsed LoggerApp,1674436284830.1665,1080704
MemUsed LoggerApp,1674436285860.2102,1080672
MemUsed LoggerApp,1674436300800.2065,1080668
MemUsed LoggerApp,1674436410830.166,1080664
MemUsed LoggerApp,1674436441840.2063,1080660
MemUsed LoggerApp,1674436504920.2039,1080656
MemUsed LoggerApp,1674436522730.2246,1080652
MemUsed LoggerApp,1674436544910.165,1080648
MemUsed LoggerApp,1674436621930.2253,1080908
MemUsed LoggerApp,1674436622750.2126,1080884
MemUsed LoggerApp,1674436760780.2087,1080880
MemUsed LoggerApp,1674436761830.2153,1080876
MemUsed LoggerApp,1674436763060.2021,1080884
MemUsed LoggerApp,1674436922040.2065,1081136
MemUsed LoggerApp,1674437096150.1653,1081128
MemUsed LoggerApp,1674437210860.224,1081124
MemUsed LoggerApp,1674437272780.2068,1081120
MemUsed LoggerApp,1674437333850.2227,1081116
MemUsed LoggerApp,1674437369900.2053,1081112
MemUsed LoggerApp,1674437370110.207,1081108
MemUsed LoggerApp,1674437371770.1648,1081116
MemUsed LoggerApp,1674437546780.2007,1081104
MemUsed LoggerApp,1674437664520.207,1080884
MemUsed LoggerApp,1674437664940.2012,1080852
MemUsed LoggerApp,1674437670950.203,1080848
MemUsed LoggerApp,1674437794770.167,1080844
MemUsed LoggerApp,1674437917840.1606,1080840
MemUsed LoggerApp,1674437970800.2026,1080836
MemUsed LoggerApp,1674437971820.203,1080832
MemUsed LoggerApp,1674437972240.204,1080828
MemUsed LoggerApp,1674437973070.167,1080836
MemUsed LoggerApp,1674437977830.2205,1080820
MemUsed LoggerApp,1674438132740.2075,1080816
MemUsed LoggerApp,1674438142860.2217,1080812
MemUsed LoggerApp,1674438169890.1604,1080808
MemUsed LoggerApp,1674438454860.2075,1080804
MemUsed LoggerApp,1674438576990.1675,1080676
MemUsed LoggerApp,1674438580930.202,1080672
MemUsed LoggerApp,1674438581750.1643,1080668
MemUsed LoggerApp,1674438582770.2324,1080676
MemUsed LoggerApp,1674438623720.209,1080672
MemUsed LoggerApp,1674438684910.1667,1080668
MemUsed LoggerApp,1674438906250.1672,1080656
MemUsed LoggerApp,1674439182740.209,1080648
MemUsed LoggerApp,1674439183580.2007,1080644
MemUsed LoggerApp,1674439184820.206,1080652
MemUsed LoggerApp,1674439237750.1633,1080648
MemUsed LoggerApp,1674439268010.2095,1080644
MemUsed LoggerApp,1674439299710.164,1080640
MemUsed LoggerApp,1674439358160.209,1080628
MemUsed LoggerApp,1674439391760.2048,1080624
MemUsed LoggerApp,1674439453900.2073,1080620
MemUsed LoggerApp,1674439788770.2085,1080616
MemUsed LoggerApp,1674439791670.2021,1080612
MemUsed LoggerApp,1674439791870.2139,1080608
MemUsed LoggerApp,1674439792700.2058,1080604
MemUsed LoggerApp,1674439793740.2024,1080612
MemUsed LoggerApp,1674439809900.2048,1080600
MemUsed LoggerApp,1674439943730.1636,1080596
MemUsed LoggerApp,1674440159730.166,1080592
MemUsed LoggerApp,1674440189920.2058,1080588
MemUsed LoggerApp,1674440222680.2258,1080596
MemUsed LoggerApp,1674440222890.2017,1080588
MemUsed LoggerApp,1674440272760.205,1080576
MemUsed LoggerApp,1674440282080.2156,1080572
MemUsed LoggerApp,1674440343900.22,1080568
MemUsed LoggerApp,1674440400900.2048,1080564
MemUsed LoggerApp,1674440401730.1616,1080560
MemUsed LoggerApp,1674440402760.2053,1080568
MemUsed LoggerApp,1674440436760.2114,1080564
MemUsed LoggerApp,1674440589840.2017,1080560
MemUsed LoggerApp,1674440620740.2078,1080556
MemUsed LoggerApp,1674440720240.2021,1080544
MemUsed LoggerApp,1674441003870.2073,1080540
MemUsed LoggerApp,1674441005720.2075,1080536
MemUsed LoggerApp,1674441006740.2004,1080544
MemUsed LoggerApp,1674441012910.166,1080540
MemUsed LoggerApp,1674441191750.2163,1080532
MemUsed LoggerApp,1674441572730.1746,1080528
MemUsed LoggerApp,1674441603700.2012,1080524
MemUsed LoggerApp,1674441611990.2231,1080520
MemUsed LoggerApp,1674441612810.209,1080516
MemUsed LoggerApp,1674441613850.2234,1080524
MemUsed LoggerApp,1674441620910.211,1080520
MemUsed LoggerApp,1674441652840.2021,1080512
MemUsed LoggerApp,1674441695780.2073,1080508
MemUsed LoggerApp,1674441726730.1653,1080504
MemUsed LoggerApp,1674441756920.2021,1080500
MemUsed LoggerApp,1674441786740.2007,1080496
MemUsed LoggerApp,1674441826610.1646,1080492
MemUsed LoggerApp,1674441832830.166,1080488
MemUsed LoggerApp,1674441838800.202,1080484
MemUsed LoggerApp,1674442098840.227,1080468
MemUsed LoggerApp,1674442214030.2056,1080464
MemUsed LoggerApp,1674442215690.2026,1080472
MemUsed LoggerApp,1674442215890.2065,1080468
MemUsed LoggerApp,1674442340830.1643,1080464
MemUsed LoggerApp,1674442371870.1667,1080460
MemUsed LoggerApp,1674442433870.1653,1080456
MemUsed LoggerApp,1674442494760.2053,1080452
MemUsed LoggerApp,1674442555790.2173,1080440
CPULoad LoggerApp,1674424784780.208,0.004996491789454036
CPULoad TrawlApp,1674424784780.208,
MemUsed TrawlApp,1674424784780.208,
CAN1_NumberOfNodes,1674424784780.208,
CAN1_NumberOfNodesOnline,1674424784780.208,
CAN2_NumberOfNodes,1674424784780.208,
CAN2_NumberOfNodesOnline,1674424784780.208,
TrawlPS_OnLampOut_Bridge,1674424784780.208,
TrawlPS_AutoModeIn_Bridge,1674424784780.208,
TrawlPS_Enable,1674424784780.208,
TrawlPS_BrakeFaultIn,1674424784780.208,
TrawlPS_TorqueCmdIn,1674424784780.208,
TrawlPS_CircPumpStop,1674424784780.208,
TrawlPS_BrakeForceApply,1674424784780.208,
TrawlPS_StatusFlags,1674424784780.208,
TrawlPS_EncValueSTOut,1674424784780.208,
TrawlPS_SpeedFBSTOut,1674424784780.208,
TrawlPS_TorqueFBSTOut,1674424784780.208,
TrawlPS_TurnCountFCIn,1674424784780.208,
TrawlPS_FC1_FBStatusWord,1674424784780.208,
TrawlPS_FC1_FBActualSpeed,1674424784780.208,
TrawlPS_FC1_FBMotorTorque,1674424784780.208,
TrawlPS_FC1_FBMotorPower,1674424784780.208,
TrawlPS_FC1_FBSpeedRef,1674424784780.208,
TrawlPS_FC1_FBTorqueLimitMotoring,1674424784780.208,
TrawlPS_FC1_FBTorqueLimitGeneratoring,1674424784780.208,
TrawlPS_FC1_DriveRunning,1674424784780.208,
TW3-M1PT100-U,1674424784780.208,
TW3-M1PT100-V,1674424784780.208,
TW3-M1PT100-W,1674424784780.208,
TrawlPS_FC2_FBStatusWord,1674424784780.208,
TrawlPS_FC2_FBActualSpeed,1674424784780.208,
TrawlPS_FC2_FBMotorTorque,1674424784780.208,
TrawlPS_FC2_FBMotorPower,1674424784780.208,
TrawlPS_FC2_FBSpeedRef,1674424784780.208,
TrawlPS_FC2_FBTorqueLimitMotoring,1674424784780.208,
TrawlPS_FC2_FBTorqueLimitGeneratoring,1674424784780.208,
TrawlPS_FC2_DriveRunning,1674424784780.208,
TW3-M2PT100-U,1674424784780.208,
TW3-M2PT100-V,1674424784780.208,
TW3-M2PT100-W,1674424784780.208,
TrawlPS_FC3_FBStatusWord,1674424784780.208,
TrawlPS_FC3_FBActualSpeed,1674424784780.208,
TrawlPS_FC3_FBMotorTorque,1674424784780.208,
TrawlPS_FC3_FBMotorPower,1674424784780.208,
TrawlPS_FC3_FBSpeedRef,1674424784780.208,
TrawlPS_FC3_FBTorqueLimitMotoring,1674424784780.208,
TrawlPS_FC3_FBTorqueLimitGeneratoring,1674424784780.208,
TrawlPS_FC3_DriveRunning,1674424784780.208,
TW3-M3PT100-U,1674424784780.208,
TW3-M3PT100-V,1674424784780.208,
TW3-M3PT100-W,1674424784780.208,
TrawlPS_Spooling_DriveEnable,1674424784780.208,
TrawlPS_Spooling_StatusFlags,1674424784780.208,
TrawlPS_Spooling_SpoolOffsetSpeedIn,1674424784780.208,
TrawlPS_Spooling_SpoolPosOut,1674424784780.208,
TrawlPS_Spooling_GUIJogFWD,1674424784780.208,
TrawlPS_Spooling_GUIJogREV,1674424784780.208,
TrawlPS_Spooling_EndStopSWStart,1674424784780.208,
TrawlPS_Spooling_EndStopSWStop,1674424784780.208,
TrawlPS_Spooling_DrumVelocity,1674424784780.208,
TrawlPS_Spooling_SpoolDev_SensorAdapter_PositionOut,1674424784780.208,
TrawlPS_Spooling_SpoolDev_SensorAdapter_SetHomePosIn,1674424784780.208,
TrawlPS_Spooling_SpoolDev_SensorAdapter_SetDirection,1674424784780.208,
TrawlPS_SpoolDev_FC_FBStatusWord,1674424784780.208,
TrawlPS_SpoolDev_FC_FBActualSpeed,1674424784780.208,
